the problem likely will mean corrective changes before the shuttle fleet starts flying again .	he said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .	4.400
calvin hollins jr. 's attorney , thomas royce , has repeatedly said his client had no link with the company that owned and operated e2 .	the lawyer for hollins jr. , thomas royce , has said his client had no link to the company that owned and operated e2 .	4.500
the single currency rose as far as 135.13 yen , matching a record high hit shortly after the euro 's launch in january 1999 .	the single currency rose as far as 135.26 yen , its highest level since the introduction of the single currency in january 1999 .	3.500
a new castle county woman has become the first delaware patient to contract the west nile virus this year , the state 's department of health reported .	a 62-year-old west babylon man has contracted the west nile virus , the first human case in suffolk county this year , according to the county health department .	1.500
mr. grassley and mr. baucus rejected any disparity in drug benefits .	grassley and baucus said they had rejected that approach in their plan .	3.000
he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully .	but the north korean nuclear crisis has dominated his time in office .	2.000
in the year-ago quarter , the steelmaker recorded a profit of $ 16.2 million , or 15 cents per share , on sales of $ 1.14 billion .	in the second quarter last year , ak steel reported a profit of $ 16.2 million , or 15 cents a share .	3.400
pg & e corp. shares were up 39 cents or 2.6 percent at $ 15.59 on the new york stock exchange on tuesday .	pg & e 's shares gained 24 cents to $ 15.44 during tuesday 's trading on the new york stock exchange .	2.200
the nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on friday .	the tech-laced nasdaq composite . ixic rallied 30.46 points , or 2.04 percent , to 1,520.15 .	1.800
" this decision is clearly incorrect , " ftc chairman timothy muris said in a written statement .	the decision is " clearly incorrect , " ftc chairman tim muris said .	4.000
a rebel who was captured said more than 2,000 insurgents were involved in the attack .	a captured rebel said 2,100 combatants had been involved in the offensive .	3.500
" it was brazen intimidation to keep people on the reservation , " said a republican who attended but did not want to be named .	" it was a brazen attempt at intimidation , " said a republican legislator who attended the meeting .	3.500
no charges were announced , but the statement said legal proceedings were expected monday .	an fbi statement said legal proceedings were expected monday in federal court in baltimore .	2.750
the dead woman was also wearing a ring and a cartier watch .	" it 's a blond-haired woman wearing a cartier watch on her wrist , " the source said .	2.600
the tech-heavy nasdaq stock markets composite index added 14.17 points or 0.94 per cent to 1,517.05 .	the nasdaq composite index , full of technology stocks , was lately up around 18 points .	2.200
paul themba nyathi , an mdc spokesman , said the avenues clinic was being targeted because it was treating opposition supporters .	mdc spokesperson paul themba nyathi said the avenues clinic was targeted because it was handling opposition supporters .	4.600
kyi , a u.n. envoy says , as japan adds to growing international pressure by saying it will halt its hefty economic aid unless suu kyi is freed .	japan added to growing international pressure on burma yesterday , threatening to halt its hefty economic aid unless the military government released pro-democracy leader aung san suu kyi .	3.000
he claims it may seem unrealistic only because little effort has been devoted to the concept .	" this proposal is modest compared with the space programme , and may seem unrealistic only because little effort has been devoted to it .	3.500
but the fbi never kept tabs on al-bayoumi - even though it had received information that he was a saudi agent , the document says .	but the bureau never kept tabs on al-bayoumi -- despite receiving prior information he was a secret saudi agent , the report says .	4.750
" it 's going to happen , " said jim santangelo , president of the teamsters joint council 42 in el monte .	" that really affects the companies , big time , " said jim santangelo , president of the teamsters joint council 42 in el monte .	1.500
